clean_name,target_account_name
txnconsulting,Livestock Feed & Veterinary Care
txnhospital,Senior Insurance Premiums
groceries,Interest Income
vegetables,Reimbursements
clothes,Digital Wallets
txnconsulting,Electricity & Water
billcollegefees,Purchases
cardgym,Rent / Housing Maintenance
txnhotel,Software & Digital Tools
billshopping,Family Support
paymentdominos,Employee Provident Fund
txnflipkart,Agricultural Land
cardgroceries,Business Loans
billservicecharge,Digital Wallets
txntoll,Shipping / Delivery Income
cardparking,Service Revenue
txnyoutube,Tuition & Academic Fees
education,Electricity & Water
ola,Agricultural Land
txntoll,Business Loans
cardmcdonalds,Annuity Payouts
cardparking,Employee Salaries
txnzomato,Equipment Loans
billfuel,Senior Insurance Premiums
petrol,Allowances / Pocket Money
txnnetflix,TDS Receivable
paymentconsulting,Trade Receivables
dominos,Dividend Income
mutualfund,Platform Commission Income
onlinebonus,Inventory / Stock
cardservicecharge,Gifts & Donations
onlinefuel,Clothing & Personal Care
spotify,Vehicle Maintenance & Tolls
onlineinternet,TDS Receivable
billamazon,Livestock
txnmobile,Pilgrimage Travel
education,Gifts & Donations
hospital,Subscriptions
onlineservicecharge,Product Sales
recharge,Bonuses & Incentives
train,Electronics & Equipment
onlinepetrol,Project Revenue
billuber,Co-working Space
onlinepizza,Legal & Professional Services
paymentmutualfund,Bank Accounts
gst,Business Equipment
flight,Scholarships & Grants
onlineelectricity,Electricity & Water
medical,Subcontractor Payments
billmaintenance,GST Input Credit
paymenttoll,Electronics & Equipment
fuel,Rent / Housing Maintenance
uber,Professional Development
cardspotify,Dividend Income
onlineswiggy,Public Transport / Cabs
txnmutualfund,Digital Wallets
maintenance,Employee Salaries
bonus,Clothing & Personal Care
paymentfreelance,Allowances / Pocket Money
onlinetoll,Supplier Discounts
txndonation,Bank Accounts
billcharity,Bonuses & Incentives
cardconsulting,Consulting Fees
onlineflipkart,Livestock Feed & Veterinary Care
txnflight,GST Input Credit
onlineflight,Annuities
billtax,Government Subsidies
billeducation,Business Travel
diesel,Cashbacks & Refunds
maintenance,Internship Stipend
paymentclothes,Subscriptions
maintenance,Agricultural Land
flight,Payment Gateway Fees
onlineclothes,Books & Study Materials
txntax,Business Equipment
cardrecharge,Harvested Inventory
txntax,Dairy Income
shopping,Payment Gateway Fees
billflipkart,Senior Insurance Premiums
cardmedical,Business Travel
txninternet,Allowances / Pocket Money
billrecharge,Senior Insurance Premiums
internet,Service Revenue
onlinediesel,Livestock
txnhotel,TDS Receivable
paymentrent,Employee Provident Fund
txnsalary,Business Travel
cardzomato,Groceries
netflix,Trade Receivables
spotify,Business Equipment
txngroceries,Credit Cards
onlinemcdonalds,Pilgrimage Travel
pharmacy,Digital Wallets
tax,Machinery Fuel & Maintenance
onlineelectricity,Gifts & Donations
train,Annuity Payouts
onlinesalary,Learning & Professional Development
paymentconsulting,Annuities
paymenttoll,Accounts Receivable
txninsurance,Government Subsidies
billpharmacy,Retainer Income
recharge,Senior Citizen Savings Schemes
billmetro,Shipping / Delivery Income
onlineyoutube,Allowances / Pocket Money
billgym,Professional Memberships
flipkart,Marketing & Advertising
cardfuel,Farm Labor
txnclothes,Senior Citizen Savings Schemes
mcdonalds,Supplier Discounts
billmcdonalds,Supplier Discounts
cardtoll,Vehicle Maintenance & Tolls
carddonation,Loans Payable
txnamazon,Direct Labor
cardmaintenance,Royalties & Licensing
cardtax,Learning & Professional Development
onlineelectronics,Platform Commission Income
paymentmetro,Vehicles
billparking,Purchases
onlinerecharge,Equipment Loans
metro,Subcontractor Payments
uber,Estate Planning & Legal Fees
billzomato,Business Travel
billbonus,Credit Cards
onlinedonation,Co-working Space
txnburger,Loans Payable
paymenthospital,Payment Gateway Fees
onlinediesel,Retainer Income
cardclothes,Internship Stipend
dominos,Allowances / Pocket Money
txnelectricity,Equipment Loans
carddiesel,Pension Income
cardgst,Hostel & Mess Charges
billtoll,Subscriptions
billgym,Product Sales
gst,Insurance Premiums
txninsurance,Senior Citizen Savings Schemes
waterbill,Reimbursements
paymenttoll,Consulting Fees
billelectronics,Groceries
education,Competition Prizes
onlineflipkart,Electricity & Water
onlineparking,Office Rent
paymentmedical,Retainer Income
schoolfees,Subscriptions
txnmcdonalds,Dividend Income
billmetro,Professional Development
paymenttrain,Internet & Phone
cardzomato,Shipping / Delivery Income
cardwifi,Company Stock / ESOPs
youtube,Reimbursements
parking,Pilgrimage Travel
paymentgym,Internet & Phone
spotify,Employee Provident Fund
billuber,Healthcare & Medical
txnservicecharge,Estate Planning & Legal Fees
flipkart,Purchases
billgst,Pilgrimage Travel
txnrecharge,Product Sales
diesel,Co-working Space
billinternet,Insurance Premiums
txnservicecharge,Consulting Fees
onlinetrain,Equipment Loans
paymentbonus,Crop Sales
pharmacy,Insurance Premiums
onlinepharmacy,Vehicle Maintenance & Tolls
onlinemaintenance,Royalties & Licensing
txnzomato,Supplier Discounts
txnvegetables,Company Stock / ESOPs
collegefees,Rental Income
paymentbonus,Professional Development
billyoutube,Competition Prizes
onlinerecharge,Office Rent
cardburger,Digital Wallets
onlinemcdonalds,Payment Gateway Fees
paymentmobile,Seeds & Fertilizers
txnmutualfund,Farm Machinery
shopping,Subcontractor Payments
mobile,Bank Charges & Fees
paymentflipkart,Allowances / Pocket Money
dominos,Allowances
freelance,Allowances
billmutualfund,Retirement Funds
zomato,Professional Development
onlineparking,Reimbursements
billsalary,Loans Payable
cardclothes,Reimbursements
vegetables,Insurance Premiums
onlinemobile,Agricultural Land
txnbonus,Senior Insurance Premiums
billgst,Senior Healthcare
swiggy,Freight / Logistics
paymentspotify,Clothing & Personal Care
servicecharge,Shipping / Delivery Income
charity,Livestock Feed & Veterinary Care
onlinesalary,Bank Charges & Fees
rent,Interest Income
repair,Inventory / Stock
schoolfees,Pilgrimage Travel
tax,Competition Prizes
cardmobile,Entertainment & Media
txntoll,Healthcare & Medical
billsubscription,Gifts & Donations
billinvestment,Senior Healthcare
swiggy,Gifts & Donations
tax,Client Meetings & Travel
paymentinsurance,Service Revenue
gasbill,Purchases
cardflipkart,Pilgrimage Travel
groceries,Real Estate / Property
paymentmedical,Freelance Project Income
amazon,Tuition & Academic Fees
carduber,Cash on Hand
billeducation,Royalties & Licensing
paymentinternet,Freelance Equipment
txngst,Equipment Rental Income
cardbonus,Trade Payables
dominos,Equipment Rental Income
billmutualfund,Agricultural Land
tax,Supplier Discounts
onlinefuel,Travel & Holidays
billwifi,Rental Income
onlinewifi,TDS Receivable
cardelectronics,Cashbacks & Refunds
repair,Dairy Income
paymenteducation,Legal & Professional Services
servicecharge,Dairy Income
cardinsurance,Estate Planning & Legal Fees
billmetro,Crop Loans
txnhospital,Machinery Fuel & Maintenance
onlineschoolfees,Software & Digital Tools
onlinedonation,Learning & Professional Development
onlinespotify,Harvested Inventory
netflix,Scholarships & Grants
subscription,Livestock
cardhotel,Work Equipment & Home Office
txnmutualfund,Insurance Premiums
rent,Legal & Professional Services
onlinesalary,Loans Payable
consulting,Bonuses & Incentives
onlineschoolfees,Livestock Feed & Veterinary Care
cardschoolfees,Pension Income
txnamazon,Livestock Feed & Veterinary Care
onlinerent,Insurance Premiums
maintenance,Learning & Professional Development
billmaintenance,Project Revenue
paymentmetro,Insurance Premiums
charity,Bank Accounts
donation,Vehicle Maintenance & Tolls
cardfuel,Entertainment & Media
billola,Inventory / Stock
onlinegroceries,Clothing & Personal Care
billinvestment,Subscriptions
shopping,Shipping / Delivery Income
cardtoll,Trade Receivables
txnmobile,GST Input Credit
onlinedominos,Real Estate / Property
paymentmaintenance,Clothing & Personal Care
paymentuber,Machinery Fuel & Maintenance
cardbonus,Direct Labor
donation,Insurance Premiums
txnmobile,Equipment Rental Income
cardhotel,Caregiver Services
cardmetro,Equipment Loans
cardmcdonalds,Dividend Income
txnvegetables,Electricity & Water
onlinewifi,Reimbursements
onlinenetflix,GST Input Credit
maintenance,Bank Accounts
paymenthotel,Investments
billrent,Harvested Inventory
donation,Trade Payables
onlinerent,Bank Charges & Fees
paymentamazon,Platform Commission Income
onlinetax,Caregiver Services
petrol,Utility Bills Payable
cardeducation,Exam & Application Fees
pharmacy,Irrigation & Electricity
cardfuel,Harvested Inventory
onlineclothes,Project Revenue
txndiesel,Learning & Professional Development
onlinemobile,Learning & Professional Development
billsubscription,Supplier Discounts
cardeducation,Pilgrimage Travel
billola,Dairy Income
paymentclothes,Dividend Income
cardola,Pension Income
billservicecharge,TDS Receivable
paymentmaintenance,Hostel & Mess Charges
carddominos,Consulting Fees
onlinemobile,Caregiver Services
txninvestment,Internet & Phone
txnmcdonalds,Software & Digital Tools
onlinewifi,Public Transport / Cabs
amazon,Service Revenue
paymentzomato,Freelance Project Income
schoolfees,Payment Gateway Fees
billgroceries,Pension Income
pizza,Co-working Space
onlineshopping,Cash on Hand
onlineyoutube,Gifts & Donations
mcdonalds,Purchases
onlinecharity,Exam & Application Fees
consulting,Real Estate / Property
schoolfees,Estate Planning & Legal Fees
onlineservicecharge,Farm Machinery
paymentparking,Electronics & Equipment
cardzomato,Annuity Payouts
billrecharge,Vehicle Maintenance & Tolls
paymentsubscription,Accounts Receivable
uber,Irrigation & Electricity
paymentdiesel,Internship Stipend
electronics,Utility Bills Payable
paymentbonus,Pilgrimage Travel
onlinezomato,Seeds & Fertilizers
txninsurance,Machinery Fuel & Maintenance
paymentconsulting,Retainer Income
cardpetrol,Farm Labor
txnhospital,Accounts Receivable
txnfreelance,Agricultural Land
billinsurance,Equipment Rental Income
txnshopping,Dairy Income
paymentwaterbill,Machinery Fuel & Maintenance
shopping,Pension Income
cardburger,Allowances / Pocket Money
txnshopping,Reimbursements
onlinerecharge,Fuel
txngroceries,Crop Loans
billeducation,GST Input Credit
paymentnetflix,Purchases
txnmcdonalds,Machinery Fuel & Maintenance
billservicecharge,Annuities
repair,Electronics & Equipment
paymentmedical,Vehicle Maintenance & Tolls
cardburger,Student Activities & Clubs
onlineola,Caregiver Services
onlineschoolfees,Clothing & Personal Care
mobile,Professional Memberships
billmutualfund,Direct Labor
paymentschoolfees,Service Revenue
txnburger,Gifts & Donations
cardpharmacy,Platform Commission Income
burger,Entertainment & Media
dominos,Fuel
txndominos,Service Revenue
diesel,Restaurants & Food Delivery
electricity,Trade Receivables
onlinetrain,Freelance Project Income
onlineschoolfees,Employee Provident Fund
onlineinvestment,Entertainment & Media
onlinedonation,GST Input Credit
paymentwifi,TDS Receivable
txnfreelance,Dividend Income
mcdonalds,Equipment Rental Income
paymentdonation,Loans Payable
paymentrent,Subcontractor Payments
cardconsulting,Professional Memberships
billgasbill,Tuition & Academic Fees
carddiesel,Public Transport / Cabs
txnmutualfund,Electricity & Water
groceries,Retainer Income
billamazon,Exam & Application Fees
onlinemutualfund,Annuity Payouts
netflix,Crop Sales
paymentmcdonalds,Business Loans
txngasbill,Business Equipment
onlinesubscription,Direct Labor
collegefees,Crop Loans
paymentrecharge,Annuity Payouts
paymentburger,GST Input Credit
onlineuber,Cashbacks & Refunds
txnmutualfund,Direct Labor
cardola,Professional Memberships
txneducation,Tuition & Academic Fees
diesel,Bank Accounts
paymenteducation,Statutory Dues Payable
tax,Retirement Funds
paymentola,Freight / Logistics
onlinerent,Crop Sales
pharmacy,Accounts Receivable
subscription,Business Equipment
billinternet,Family Support
txntoll,Business Travel
uber,Cashbacks & Refunds
billmetro,Retainer Income
billpharmacy,TDS Receivable
cardspotify,Bank Charges & Fees
uber,Real Estate / Property
billpizza,Insurance Premiums
txnhospital,Estate Planning & Legal Fees
billgasbill,Digital Wallets
wifi,Cash on Hand
billeducation,Annuity Payouts
hotel,Pilgrimage Travel
investment,Internship Stipend
cardtax,Allowances / Pocket Money
cardrepair,Books & Study Materials
ola,Annuities
txnpharmacy,Annuity Payouts
billmaintenance,Platform Commission Income
txnburger,Client Meetings & Travel
onlinemcdonalds,Software & Digital Tools
cardola,Marketing & Advertising
fuel,Purchases
billgym,Co-working Space
billinternet,Entertainment & Media
repair,Restaurants & Food Delivery
vegetables,Insurance Premiums
onlineinternet,Restaurants & Food Delivery
billcharity,Family Support
cardswiggy,Utility Bills Payable
rent,Farm Machinery
cardgym,Bank Accounts
onlineola,Senior Healthcare
paymentpharmacy,TDS Receivable
onlineola,Salary
txnbonus,Purchases
cardelectricity,Fuel
dominos,Rental Income
onlineinvestment,Public Transport / Cabs
mcdonalds,Bank Accounts
txninsurance,Marketing & Advertising
billinvestment,Subscriptions
paymentinternet,Company Stock / ESOPs
internet,Senior Citizen Savings Schemes
diesel,Reimbursements
txngst,Seeds & Fertilizers
paymentfreelance,Farm Machinery
txnzomato,Bonuses & Incentives
billzomato,Work Equipment & Home Office
paymentmedical,Investments
waterbill,Retainer Income
txnflipkart,Agricultural Land
onlinefuel,Office Rent
billbonus,Livestock Feed & Veterinary Care
insurance,Professional Equipment
paymentdiesel,Electricity & Water
paymentspotify,Hostel & Mess Charges
pharmacy,Business Loans
txnpetrol,Harvested Inventory
onlineflipkart,Client Meetings & Travel
paymentinternet,Crop Sales
txnmaintenance,Agricultural Land
txninternet,Client Meetings & Travel
paymentspotify,Family Support
cardswiggy,Interest Income
billinternet,Professional Memberships
paymentgym,Livestock Feed & Veterinary Care
onlinesalary,Agricultural Land
paymentdonation,Bonuses & Incentives
donation,Internet & Phone
txninvestment,Business Loans
clothes,Opening Balance Equity
cardinvestment,Pension Income
paymentflight,Professional Equipment
txngym,Equipment Rental Income
hotel,Inventory / Stock
electronics,GST Input Credit
wifi,Clothing & Personal Care
onlineamazon,Healthcare & Medical
billpetrol,Insurance Premiums
paymentamazon,Loans Payable
shopping,Trade Payables
billinsurance,Senior Insurance Premiums
txnzomato,Electronics & Equipment
onlineschoolfees,Pension Income
cardmcdonalds,Cashbacks & Refunds
paymentpharmacy,Pilgrimage Travel
cardmutualfund,Bonuses & Incentives
tax,Legal & Professional Services
donation,Dividend Income
cardzomato,Travel & Holidays
paymentbonus,Allowances / Pocket Money
txnspotify,Legal & Professional Services
freelance,Employee Salaries
pizza,Internet & Phone
txnelectricity,Hostel & Mess Charges
txnrecharge,Rent / Housing Maintenance
paymentsalary,Service Revenue
cardclothes,Vehicle Maintenance & Tolls
paymentmcdonalds,Clothing & Personal Care
txngasbill,Payment Gateway Fees
collegefees,Digital Wallets
dominos,Livestock
billcollegefees,Subscriptions
txntax,Inventory / Stock
swiggy,Credit Cards
onlineshopping,Employee Salaries
txnconsulting,Opening Balance Equity
paymentmobile,Rent / Housing Maintenance
paymentinternet,Pilgrimage Travel
billmedical,Healthcare & Medical
train,Retainer Income
onlinepharmacy,Exam & Application Fees
billmaintenance,Accounts Receivable
electricity,Crop Loans
onlinegasbill,Electricity & Water
diesel,Crop Loans
billgasbill,Opening Balance Equity
txnrent,Accounts Receivable
paymentrepair,Professional Equipment
shopping,Salary
billburger,Entertainment & Media
